Steps,Policy/Entropy,High Score,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
580000,0.042144522,243.0,6238.0,0.16099279,11.20000021532178,11.20000021532178,0.0023659999,0.06881351,0.00029654716,1.0
590000,0.046799388,255.0,1138.0,0.1675476,0.8000000268220901,0.8000000268220901,0.0018348225,0.06468325,0.00029649044,1.0
600000,0.044358645,266.0,None,0.17649995,None,None,0.0005108758,0.06353771,0.00029643343,1.0
610000,0.047120444,278.0,2304.0,0.17930266,3.4750000927597284,3.4750000927597284,0.0032212764,0.068373404,0.00029637018,1.0
620000,0.04765205,291.0,None,0.16656871,None,None,0.0017211193,0.06574373,0.00029630706,1.0
630000,0.049156543,303.0,6477.5,0.17221521,11.350000217556953,11.350000217556953,0.0018320057,0.06936343,0.00029625025,1.0
640000,0.04715602,316.0,6389.0,0.18152425,11.100000202655792,11.100000202655792,0.00047782093,0.061553903,0.0002961936,1.0
650000,0.04802359,318.0,5566.384615384615,0.14175963,9.484615560907583,9.484615560907583,0.012107912,0.066324055,0.00029613072,1.0
660000,0.041749384,None,533.0,0.114818014,-0.09999998658895493,-0.09999998658895493,0.0025374962,0.059564997,0.00029606803,1.0
670000,0.050351933,None,1715.0,0.15167008,2.5000000968575478,2.5000000968575478,0.0005208491,0.06366295,0.000296011,1.0
