Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,High Score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
1250000,0.02790528,1889.5,0.11011916,1.2500000391155481,1.2500000391155481,None,0.00347695,0.06318153,0.00029252763,1.0
1260000,0.025013728,10079.0,0.100609824,11.200000181794167,11.200000181794167,None,0.0014335727,0.059779808,0.0002924709,1.0
1270000,0.025324602,1740.0,0.09841741,0.8000000491738319,0.8000000491738319,None,0.0007922767,0.06457196,0.0002924141,1.0
1280000,0.025708716,1210.0,0.10200595,0.4500000327825546,0.4500000327825546,None,0.0019198367,0.07302921,0.00029235115,1.0
1290000,0.027043978,10329.0,0.09815956,11.850000202655792,11.850000202655792,None,0.0021334742,0.07536126,0.00029228808,1.0
1300000,0.026185602,6967.777777777777,0.07960335,7.211111235949728,7.211111235949728,None,0.010226092,0.06164103,0.0002922314,1.0
1310000,0.028389424,5999.0,0.08081268,5.600000098347664,5.600000098347664,None,0.0011633384,0.065163895,0.00029217434,1.0
1320000,0.029430874,2055.0,0.0905926,1.4000000357627869,1.4000000357627869,None,0.0007580723,0.07027746,0.00029211087,1.0
1330000,0.028863851,None,0.10173858,None,None,None,6.911774e-05,0.06869568,0.00029204777,1.0
1340000,0.027740153,None,0.11329153,None,None,None,5.7435784e-05,0.06884851,0.00029199073,1.0
1350000,0.026571834,None,0.11524424,None,None,None,5.6728557e-05,0.07714817,0.0002919337,1.0
1360000,0.027517805,3831.0,0.11520711,3.8000001162290573,3.8000001162290573,None,0.001011152,0.06831723,0.00029187035,1.0
1370000,0.027901953,3979.0,0.10478743,4.050000097602606,4.050000097602606,None,0.001859483,0.069850355,0.00029180717,1.0
1380000,0.026369836,6185.0,0.09728659,6.300000108778477,6.300000108778477,None,0.001394516,0.07204508,0.00029174992,1.0
1390000,0.027887778,None,0.10338333,None,None,None,6.239943e-05,0.07569963,0.00029169297,1.0
1400000,0.029157931,1101.0,0.11194335,0.40000004321336746,0.40000004321336746,None,0.0008556704,0.07293635,0.00029162978,1.0
1410000,0.029813759,None,0.11884918,None,None,None,6.0321065e-05,0.06746366,0.00029156654,1.0
1420000,0.027938444,7661.0,0.117168404,8.100000157952309,8.100000157952309,None,0.0012003992,0.061332725,0.0002915096,1.0
1430000,0.028344626,9511.0,0.10960542,10.566666853924593,10.566666853924593,None,0.0020465748,0.06498373,0.000291452,1.0
1440000,0.026865315,None,0.10630749,None,None,None,7.292931e-05,0.07510747,0.00029138816,1.0
1450000,0.028234009,18567.0,0.1092402,21.600000336766243,21.600000336766243,None,0.00093167013,0.07155019,0.0002913311,1.0
1460000,0.025178125,None,0.112055756,None,None,None,6.399969e-05,0.06940835,0.000291274,1.0
1470000,0.02922148,14322.0,0.104573496,16.50000026077032,16.50000026077032,None,0.002311596,0.07524423,0.00029121008,1.0
1480000,0.02621387,11569.0,0.097101554,12.70000022649765,12.70000022649765,None,0.0009397178,0.06602174,0.00029114675,1.0
1490000,0.028584931,None,0.099509,None,None,None,5.101832e-05,0.06700443,0.0002910898,1.0
1500000,0.027220879,8060.0,0.11039587,8.500000186264515,8.500000186264515,None,0.0009522818,0.07068187,0.00029103277,1.0
1510000,0.02452321,4854.0,0.115782104,4.4000000804662704,4.4000000804662704,None,0.0011706831,0.0677652,0.00029096944,1.0
1520000,0.027622918,7453.5,0.1191829,7.8500001430511475,7.8500001430511475,None,0.002068988,0.06947466,0.0002909062,1.0
1530000,0.024819203,None,0.11641125,None,None,None,6.0202277e-05,0.07385728,0.0002908488,1.0
1540000,0.024704829,12263.5,0.109794796,13.450000237673521,13.450000237673521,None,0.001912063,0.06888806,0.00029079156,1.0
1550000,0.028633237,None,0.116418056,None,None,None,5.930661e-05,0.061721038,0.000290728,1.0
1560000,0.026321033,4596.0,0.106962435,4.700000129640102,4.700000129640102,None,0.0011638508,0.06623063,0.0002906709,1.0
1570000,0.027536113,None,0.11357398,None,None,None,5.1853443e-05,0.06254431,0.00029061385,1.0
1580000,0.028545069,4491.5,0.11528204,4.5500000938773155,4.5500000938773155,None,0.0015903998,0.0665684,0.00029055082,1.0
1590000,0.024499476,18403.0,0.102721676,21.600000359117985,21.600000359117985,None,0.0009684699,0.07255334,0.00029048778,1.0
1600000,0.026629556,8480.0,0.10433455,8.900000169873238,8.900000169873238,None,4.080884e-05,0.06891872,0.0002904309,1.0
1610000,0.026605185,None,0.10291755,None,None,None,0.0009142246,0.07106396,0.00029037407,1.0
1620000,0.024777822,None,0.10668684,None,None,None,6.227314e-05,0.068147525,0.0002903107,1.0
1630000,0.025739994,9888.333333333334,0.107373565,10.800000183284283,10.800000183284283,None,0.0029301255,0.064331844,0.00029024764,1.0
1640000,0.025201779,None,0.10227461,None,None,None,3.776187e-05,0.08268998,0.00029019077,1.0
1650000,0.028771585,None,0.111679986,None,None,None,5.7612615e-05,0.0736333,0.00029013347,1.0
1660000,0.031024182,None,0.11179645,None,None,None,7.111991e-05,0.070908464,0.0002900701,1.0
1670000,0.027313665,26325.0,0.11587199,31.0000004991889,31.0000004991889,None,0.00096376054,0.063389465,0.0002900068,1.0
1680000,0.029408459,None,0.11775868,None,None,None,7.3642586e-05,0.06958445,0.00028994997,1.0
1690000,0.025887392,18307.0,0.11722613,20.70000034570694,20.70000034570694,None,0.00044122353,0.06276171,0.0002898931,1.0
1700000,0.024434445,4264.0,0.115976736,4.20000009983778,4.20000009983778,None,0.001133683,0.075135596,0.0002898297,1.0
1710000,0.02790405,1171.0,0.10792833,0.30000001937150955,0.30000001937150955,None,0.0010686277,0.07153194,0.00028976653,1.0
1720000,0.026693411,8985.0,0.1062366,10.000000186264515,10.000000186264515,None,5.629331e-05,0.06607649,0.0002897096,1.0
1730000,0.028092781,18139.0,0.10682493,21.600000359117985,21.600000359117985,None,0.0017910199,0.0669414,0.000289653,1.0
1740000,0.026192257,14829.0,0.11247512,16.600000262260437,16.600000262260437,None,0.0011869365,0.066764295,0.0002895897,1.0
1750000,0.030302607,None,0.10293388,None,None,None,6.689459e-05,0.059387036,0.00028952633,1.0
1760000,0.028819952,None,0.11176168,None,None,None,5.7196434e-05,0.07207442,0.00028946897,1.0
1770000,0.02696163,6250.0,0.1177686,6.500000134110451,6.500000134110451,354.0,0.0009808018,0.07176668,0.00028941198,1.0
1780000,0.029869864,8154.5,0.11458089,8.950000159442425,8.950000159442425,362.0,0.0017815474,0.06652413,0.000289349,1.0
1790000,0.027630584,None,0.11710402,None,None,369.0,4.688847e-05,0.064646706,0.00028928582,1.0
1800000,0.027934024,None,0.11958902,None,None,377.0,5.3006584e-05,0.06878297,0.0002892288,1.0
1810000,0.027803943,None,0.12065501,None,None,384.0,6.206551e-05,0.072059035,0.00028917176,1.0
1820000,0.029987065,20065.5,0.11951589,23.00000037997961,23.00000037997961,392.0,0.0018055787,0.06387343,0.00028910855,1.0
1830000,0.027697371,20058.0,0.11431438,22.800000376999378,22.800000376999378,399.0,0.00095621607,0.06635126,0.00028904545,1.0
1840000,0.028177608,None,0.113708384,None,None,407.0,6.693093e-05,0.07370303,0.0002889886,1.0
1850000,0.026816374,None,0.11565598,None,None,414.0,6.6118846e-05,0.064849004,0.0002889314,1.0
1860000,0.025183488,None,0.11540291,None,None,421.0,6.903405e-05,0.06250475,0.00028886783,1.0
1870000,0.025790017,4464.0,0.11477806,4.100000087171793,4.100000087171793,429.0,0.002207921,0.0693613,0.0002888111,1.0
1880000,0.03039016,12530.0,0.10630857,13.900000233203173,13.900000233203173,436.0,0.002285074,0.068970904,0.00028875444,1.0
1890000,0.027300749,26724.0,0.110122874,31.100000500679016,31.100000500679016,444.0,0.0009802807,0.06545071,0.0002886912,1.0
1900000,0.027114041,None,0.10993911,None,None,451.0,4.9482012e-05,0.06736092,0.00028862755,1.0
1910000,0.025865316,None,0.1121891,None,None,459.0,5.8168407e-05,0.068297386,0.00028857053,1.0
1920000,0.025941446,10126.0,0.107187524,11.250000204890966,11.250000204890966,466.0,0.0018609501,0.060769416,0.00028851366,1.0
1930000,0.02905235,None,0.11263487,None,None,474.0,5.168719e-05,0.0674145,0.00028845033,1.0
1940000,0.026163697,7222.0,0.10894673,8.10000018030405,8.10000018030405,481.0,0.00095341355,0.06884944,0.000288387,1.0
1950000,0.03288935,10888.0,0.10783149,11.600000187754631,11.600000187754631,489.0,0.0009961353,0.06939062,0.00028832952,1.0
1960000,0.025860421,2151.0,0.1092384,1.7500000521540642,1.7500000521540642,497.0,0.0009736645,0.06723189,0.00028827222,1.0
1970000,0.026881263,None,0.1085989,None,None,504.0,0.0011277869,0.066610225,0.0002882085,1.0
1980000,0.028032051,None,0.113158725,None,None,512.0,5.9110716e-05,0.06542008,0.00028815132,1.0
1990000,0.028102515,4637.0,0.11760775,4.500000104308128,4.500000104308128,520.0,0.0009745088,0.069019124,0.00028809413,1.0
2000000,0.030812304,4143.0,0.11680755,3.8000000715255737,3.8000000715255737,528.0,6.535513e-05,0.07245198,0.00028803034,1.0
2010000,0.024903337,19777.0,0.107947364,22.775000382214785,22.775000382214785,532.0,0.004315527,0.06857749,0.0002879674,1.0
2020000,0.031201787,None,0.09761402,None,None,None,5.7008052e-05,0.06978026,0.0002879108,1.0
2030000,0.025587203,None,0.10568119,None,None,None,5.7971087e-05,0.070652954,0.00028785356,1.0
2040000,0.027688691,13182.5,0.10889044,14.900000248104334,14.900000248104334,None,0.002062662,0.0694705,0.00028779014,1.0
2050000,0.029584996,16920.0,0.10716937,19.700000308454037,19.700000308454037,None,0.0011286477,0.06903215,0.0002877273,1.0
2060000,0.027581507,28199.0,0.10514721,33.1000005081296,33.1000005081296,None,0.0014746842,0.06581757,0.00028767044,1.0
2070000,0.025379108,6357.0,0.11088705,6.800000138580799,6.800000138580799,None,0.0009267714,0.06756252,0.00028761357,1.0
2080000,0.028818741,None,0.11538837,None,None,None,6.759698e-05,0.076635316,0.00028755027,1.0
2090000,0.026281048,30771.0,0.11428835,35.800000593066216,35.800000593066216,None,0.000991396,0.07163279,0.000287487,1.0
2100000,0.0263075,2111.5,0.10742257,1.5000000484287739,1.5000000484287739,None,0.0025409993,0.0693551,0.00028743022,1.0
2110000,0.026940854,35619.0,0.104668245,41.70000063627958,41.70000063627958,None,0.0010832453,0.064701416,0.0002873735,1.0
2120000,0.031144185,None,0.10969272,None,None,None,6.248506e-05,0.06353506,0.00028731013,1.0
2130000,0.029454608,7059.0,0.10577776,7.600000150501728,7.600000150501728,None,0.0009178276,0.06281565,0.00028724698,1.0
2140000,0.028801613,4746.0,0.10729969,4.700000107288361,4.700000107288361,None,0.0009166758,0.07333503,0.00028719008,1.0
2150000,0.0283102,13218.0,0.11758606,14.75000024586916,14.75000024586916,None,0.0007084273,0.068605244,0.00028713307,1.0
2160000,0.030421466,9661.75,0.11863085,10.800000181421638,10.800000181421638,None,0.0023811709,0.068037294,0.00028707,1.0
2170000,0.02839748,373.0,0.098933764,-0.666666661699613,-0.666666661699613,None,0.0034014888,0.06315149,0.00028700716,1.0
2180000,0.029138366,16201.0,0.09061265,19.10000029951334,19.10000029951334,None,0.0010774066,0.06972115,0.00028695076,1.0
2190000,0.029907411,None,0.103009894,None,None,None,5.6519068e-05,0.068591945,0.0002868938,1.0
2200000,0.026318908,8711.333333333334,0.10775227,9.566666846474012,9.566666846474012,None,0.0021306924,0.06170105,0.00028683082,1.0
2210000,0.028772531,None,0.11639067,None,None,None,5.7112553e-05,0.06495088,0.00028676764,1.0
2220000,0.029719006,None,0.119429775,None,None,None,5.9044254e-05,0.06633488,0.0002867103,1.0
2230000,0.026833663,11684.0,0.11214719,13.100000232458115,13.100000232458115,None,0.00096686726,0.06971574,0.00028665335,1.0
2240000,0.027771136,None,0.1122506,None,None,None,6.026371e-05,0.064906016,0.00028659008,1.0
2250000,0.029429434,None,0.11702886,None,None,None,6.0045095e-05,0.06720368,0.0002865267,1.0
2260000,0.027231053,None,0.11765665,None,None,None,6.8955385e-05,0.06840015,0.00028646967,1.0
2270000,0.026093522,8506.333333333334,0.11019499,9.533333520094553,9.533333520094553,None,0.002926434,0.069554254,0.00028641254,1.0
2280000,0.028890513,None,0.10206083,None,None,None,4.991179e-05,0.06817685,0.0002863487,1.0
2290000,0.023912178,5909.0,0.10123384,6.060000123083592,6.060000123083592,None,0.003518808,0.069983155,0.00028628547,1.0
2300000,0.027529212,None,0.092787854,None,None,None,5.740978e-05,0.06468283,0.00028622875,1.0
2310000,0.027738485,10813.666666666666,0.10246797,12.033333557347456,12.033333557347456,None,0.0018450904,0.066043705,0.0002861718,1.0
2320000,0.024157593,None,0.09422323,None,None,None,0.00092886377,0.07179649,0.0002861076,1.0
2330000,0.027411563,860.0,0.09991865,3.725290298461914e-08,3.725290298461914e-08,None,0.0011364328,0.07170621,0.00028605043,1.0
